SL No,Customer Type,Customer Name,About Customer,Industry,Service Area,Project/Case Study Title,Short Description,Key Words,Tech Stacks,SharePoint Link
58,enterprise,prince pipes,client is one of india's largest pvc pipe manufacturers & multi polymer processors,manufacturing,data engineering,reducing overdue payments and mitigating revenue at-risk? for a manufacturing company,leveraged azure technologies & created an end-to-end data architecture that helped the client in assessing customer payment history and thus strategized credit-limits & discounts,"payment default, future payments, interactive dashboards, automated alerts & messages, data architecture, predictive analytics, data warehouse, machine learning models, data pipeline","azure sql warehouse, powerbi, azure machine learning, angular",sn058_princepipes_case study_reducing overdue payments.pptx
59,enterprise,printers mysore,"a leading media publishing company having pan india presence. capitalizing on the strength of its media brands, it has embarked on a journey to�develop a digital media business for the 21st century media consumer.?",media,web application development,web portal for customer data collection and analysis?,nitor designed and developed a�web-based�solution for data�collection and reports generation that helped the client in target marketing campaigns. the portal is responsive and�accessible on web & mobile both.?,"web-based solution, data collections, reports generation, responsive web application, marketing campaigns","frontend (react.js), backend (java), mobile services (aws pinpoint), email services (aws ses)",sn059_printers mysore_case study_web portal for customer data collection & analysis.pptx
60,enterprise,reliable autotech,"client provides end-to-end solutions starting from designing, prototyping and development of dies, fixtures, and gauges, stamping components, setting up welded assembly cells / lines,�powder coating or e-coating, remote warehousing and supplying to oems in the domestic and overseas markets through an efficient ""just-in-time"" supply chain.?",manufacturing,tableau,dashboard development in tableau?,we�developed a tableau-based reporting platform to automate & analyze the client�s�data from its sap erp system. this platform supported visualization-rich reports &�dashboards with important kpis of their departments for the end users,"reporting platform, reports & dashboards, data extraction, data modelling, refreshing the incremental data","tableau desktop, tableau cloud, python (for data extraction from sap), sap, excel",sn060_reliable autotech_case study_dashboard development in tableau.pptx
61,isv,shadowbox,"a saas company that provides secure, no-code healthcare integration & automation platform",software development,aws,application migration to aws,"nitor migrated the client's old monolithic application in 2 phases using lift & shift approach where in phase 1 we migrated the application from armor cloud to the aws ec2 with minimal code changes and in phase 2, ec2 to aws ecs fargate","application migration, cloud, ci/cd pipleines, docker containers, regression testing, lift & shift approach","aws ec2, aws s3, aws rds, ecs fargate, nginx, docker, aws cloudwatch, armor cloud",sn061_shadowbox_case study_application migration to aws.docx
62,enterprise,tata auto comp,client provides products and services to the indian and global automotive oems.�?,automotive,web application development,knowledge management portal development?,"nitor�develop a�robust and scalable knowledge management portal�by�leveraging�sharepoint technology. the portal helps users to�share and learn�best practices, experiences, information, and knowledge across business units�and its plants. the portal will ensure the knowledge /best practices are available�in the�right place at the right time�to enable informed decisions and to improve�efficiency by reducing the need to rediscover�knowledge?","knowledge management portal, alert systems, role-based access, document & file management, chatbot, reports & dashboards, scalability","sharepoint onine, react.js, material ui, css, typescript, power automate",sn062_tataautocomp_case study_knowledge management portal.pptx
63,isv,viscenario,"a leading provider of construction software to construction industry in usa, canada and australia�?",software,testing,automation regression testing for�?java-based product in construction domain,nitor performed regression testing on the client's java-based cosntruction product to test its newly developed functionalities,"regression testing, test automation, qa","java, swing, ms sql server 2008, in-house test management tool, screen scrapper (automation tool)",sn063_viscenario_case study_automation regression testing for a java-based product.pptx
64,isv,waka tech,leading provider of a digital freight forwarding platform for hassle-free delivery  ,logistics,application development,conversation platform,nitor developed a completely independent chat/message platform that can be interfaced to any module which requires conversational features. ,"conversation platform, approvals/rejections, stakeholders' communication & file & data sharing","angular, node.js, socket.io, sendbird",sn064_waka tech_case study_conversation platform.pptx
65,isv,epicare zenith,manufacturing,manufacturing,application enhancement,application modernization,"nitor team implemented industry standard layered architecture which made the application more scalable and modern and could also be deployed on multiple platforms, thereby fulfilling�multiple user interface [ui] enhancements","application modernization, ui enhancement, scalability",".net standard 2.0, c#, blazor web framework, ide - visual studio 2019",sn065_epicare zenith_case study_application modernization.pptx
66,isv,launch point,a leading payment integrity solutions provider based out of chicago,payments,data engineering,data architecture modernization ,nitor's solution architecture team worked closely with technology leadership and built a rapid prototype using the hadoop technology stack. we also implemented aws to monitor and auto-scale the services used for managing the hadoop infrastructure.,"etl process scalability, data warehouse, database","aws lamda, hadoop / hdfs and hbase?, spark?, hive, livy server?, aws s3 and lamba?, zookeeper ensemble, yarn? jupyter notebooks?",sn066_launch point_case study_data architecture modernization.pptx
67,isv,launch point,a leading payment integrity solutions provider based out of chicago,payments,data engineering,migrating rdbms to cloud based columnar dw,nitor developed a robust data ingestion and integration module and stored the data in the target data warehouse for analysis. we built analytics layer in multi-tenant architecture for their customer�s consumption with self-service and data discovery modules. we also developed a machine learning-based solution to identify fraudulent claims to focus on maximizing the settlements,"edi claims, rdbms, analytics","azure data warehouse, azure graph api, sql azure, azure web role logi analytics, azure blob & table storage, azure data factory, azure data catalog, azure documentdb, azure redis cache",sn067_launch point_case study_cloud migration.pptx
68,isv,launch point,a leading payment integrity solutions provider based out of chicago,payments,application enhancement,msp rule engine for coordination of benefits ,"nitor build a msp rule engine through which system could identify the claims in which medicare is the secondary payer. nitor also made customer's product compliant as per smart compliance released by cms. all of this was done by implementing a 3-phased approach of requirements gathering, development, & qa and developed msp rules and report generation feature within 3 sprints","case management, claims, msp rules and report generation","payment integrity suite, msp validation, consulting & managed analytics services, healthcare cloud, hipaa compliance",sn068_launch point_case study_msp rules implementation.pptx
69,isv,launch point,a leading payment integrity solutions provider based out of chicago,payments,data engineering,data model enhancement and bi module ,"nitor understood the business requirements, functional process flows and deployed the team of data modelers, architects and bi specialists to perform activities like db modelling & enhancement, data integration, bi module development, reports implementation, and security enhancement","data management, data storage, data security, db modelling, bi development, reports implementation, security enhancement","sql server 2012 (ssis, ssas, ssrs), logi analytics, qlikview, molap, rolap",sn069_launch point_case study_data model enhancement & bi module.pptx
70,isv,launch point,a leading payment integrity solutions provider based out of chicago,payments,application development,esrd identification,nitor developed a solution that used the customer's member�s claims to identify instances of esrd that are not consistent with cms reporting and restored the corresponding underpaid cms premium payments for up to 72 months in arrears,"esrd patients, cms premium payments, cms reporting","ruby on rails, aws, python",sn070_launch point_case study_esrd identification.pptx
71,isv,launch point,a leading payment integrity solutions provider based out of chicago,payments,application development,case management product suite,"nitor provided a comparison chart of different medication workflow engines available and finally with the client�s approval, a solution was built on sharepoint to automate the customer's overall business processes that integrated with the existing consolidated database","medication wokflow, sharepoint application, workflow engines, db","sharepoint, asp.net, c#, sql server",sn071_launch point_case study_case management product suite.pptx
72,isv,deutsche telekom clinical solutions (dtcs),"a leading clinical solutions provider for hospital information systems, telemedicine, and electronic health card",healthcare,application development,real time data integration platform,nitor developed a drug assessment platform to manage the conduction of phase-1 clinical trials in specialized sites/hospitals all over the world by building an enterprise data warehouse modelled dimensionally using existing aws rds � postgresql database and analytical/reporting layer in a business intelligence platform hosted in a cloud environment,"drug assessment, clinical trials, hospitals, data warehouse, business intelligence, database, cloud environment","etl tools (aws glue, aws lamba), messaging system (aws sqs), reporting tools (tableau), database (aws rds, postgresql)",sn072_dtcs_case study_real time data integration platform.pptx
73,isv,patientory,a global population health management software provider that gives users access to actionable insights from their health data.,healthcare,application development,multiple ehr integration using integration engine,"nitor developed an exclusive telehealth solution having integration of multiple ehr modules like dr. chrono, epic, allscripts, greenway using redox integration engine with features like video conferencing, screen sharing, & chat. we aggregated the data from these ehr modules and displayed the consolidated view on client's application.","ehr modules integration, telehealth solution, redox integration engine, video conferencing, screen sharing, chat","ethereum, ipfs, quorum, node.js, react, gcp, big query, cloud speech api",sn073_patientory_case study_multiple ehr integration.pptx
74,isv,patientory,a global population health management software provider that gives users access to actionable insights from their health data.,healthcare,application development,blockchain platform for health data exchange,"nitor developed a solution which empowered patients, clinicians, and healthcare organizations to access, store and transfer information safely. this solution was built using a private blockchain platform for health data exchange using ipfs where we exposed blockchain and core services api, which other dapp can consume and build custom applications.","data security, hipaa compliant, blockchain platform, ipfs, ico platform","gcp, node.js, quorum, solidity, ethereum",sn074_patientory_case study_blockchain platform for health data exchange.pptx
75,isv,patientory,a global population health management software provider that gives users access to actionable insights from their health data.,healthcare,application development,risk stratification - care plan management,nitor developed a reporting & analytics solution to identify high risk patients and provide them with constant high quality caring solutio. this solution captured a variety of information from disparate source systems and took care of humongous volume (40 gb of data with 180+ millions of records) by performing machine learning (ml) algorithms to improve the patient care.,"claims, reporting & analytics, healthcare, fradulent claims, machine learning","source- ssas cube, design implementation-import option",sn075_patientory_case study_risk stratification - care plan management.pptx
76,isv,consilink,leading us-based organization that provides cloud-based data services and analytics to support technology-enabled healthcare innovation.,healthcare,data engineering, healthcare data management and analytics,"nitor developed a scalable solution architecture by designing the data integration process to capture real-time data from wearable devices & other information from disparate source systems and load into the s3 storage. further, the solution provided informative reports and dashboards after identifying the key performance indicators","scalable architecture, wearable devices, health action plan, reports & dashboards","aws s3 storage, aws kinesis, aws redshift, power bi, talend etl",sn076_consilink_healthcare data management & analytics.pptx
77,isv,healthmine,"a leader in providing a cloud-based health improvement platform for personal clinical engagement, consumer engagement, and incentive platform.�",healthcare,application development,personal clinical engagement platform,"developed web and mobile application for integration with wearable devices to display vital statistics like steps, miles, calories and intense activity�","web & mobile application development, wearble devices, statistics, integration",".net - mcv 5.0, css 3.0, html5 (high chart), web api, oracle 11g, cqrs, react native",sn077_healthmine_case study_personal clinical engagement platform.pptx
78,isv,planned parenthood,"leading us based healthcare enterprise providing their services in reproductive healthcare, sex education ",healthcare,data engineering, bi solution to analytics solution provider,"developed a data warehouse and a reporting tool/application, to store patients' information from different sources","data warehouse, reports, patients' information, power bi, etl","nextgen ehr sql server, ms excel, google analytics, power bi, microsoft sql server",sn078_planned parenthood_case study_bi solution.pptx
79,isv,yuvohealth,a leader in value-based contracting and administrative partner focused solely on the unique needs of community health centers.,healthcare,application development & data engineering,healthcare value-based care solution,"developed a seamless web application to bring in multiple sources of clinical, financial, and administrative data, including risk adjustment for enrolled medicaid members�and achieve seamless data sharing by creating value-based care reporting dashboards with intuitive insights for population health team","data sharing, reporting dashboards, data lake, etl processes, ehrs, john hopkins risk model, care management information systems","snowflake, gcp, metillion, google looker analytics, react.js, node.js",sn079_yuvohealth_case study_healthcare value-based care solution.pptx
80,isv,yuvohealth,a leader in value-based contracting and administrative partner focused solely on the unique needs of community health centers.,healthcare,application development & data engineering,value-based care analytics,"developed an enterprise data warehouse solution on gcp & snowflake by leveraging paas & saas services to provide administrative services by integrating data from multiple clients through stp/sftp, 3rd party apis and ehr systems","enterprise data warehouse, data integration, looker-based analytics, self-service bi, reports & dashboards, web portal, role-based data-level security","gcp cloud, snowflake, python, gcp cloud run, apache spark, 3rd party apis",sn080_yuvohealth_case study_value-based care analytics.pptx
81,isv,gordian,"a global scale company empowering organizations in construction planning, building to facility operations by delivering critical data, and innovative technology ",real esate consulting,generative ai,construction cost estimation using generative ai,"created a conversational chatbot with generative ai capability that uses natural language processing (nlp) to take requirements from the user (for example an apartment with 6 rooms, 1 swimming pool, 1 tennis court, etc.) and provides estimate templates to choose from. ","conversational chatbot, generative ai, natural language processing (nlp), natural language understanding (nlu), construction, ","natural language tool kit (nltk), spacy, diaglogflow, rasa, langchain, flask, node.js, .net, react, html5, css3, pygadtfranking, genetic algorithm, ranking algorithms",sn081_gordian_case study_construction cost estimation using generative ai.pptx
82,isv,gordian,"a global scale company empowering organizations in construction planning, building to facility operations by delivering critical data, and innovative technology ",real esate consulting,application enhancement,construction innovation � application modernization,"modernized the customer's legacy construction-related application by resolving performance issues, architecture complexity and a better user experience","application modernization, performance issues, user experience, legacy application","angular 13, .net 6, java, php, jsp, node.js, javascript, ms sql (on-premise), azure devops (ci/cd), entity framework, kendo ui, veracode, teamcity",sn082_gordian_case study_construction innovation� application modernization.pptx
83,isv,constructiveiq,"the client is a stealth startup that approached us to build mvp, which they used to raise funding.",construction,application development,mvp for construction client,developed a ui application to keep records of construction projects by onboarding a team of react developers and achieved a workable prototype version of mvp in a limited time ,"ui application, construction projects, mvp, prototype","typescript, react.js, node.js, github, antd, github actions, vs code, aws",sn083_constructiveiq_case study_mvp for construction client.pptx
84,isv,eightfold ai,"the industry�s first talent intelligence platform that transforms how you hire retain, and grow a diverse workforce",talent sourcing,consulting,talent intelligence platform,"we set up the jira process for the technical writing team to improve organization visibility, increase collaboration and communication, and enhance project planning and tracking. we also helped create user manuals, product documentation, technical guides, and training materials�that are easy to understand and use. ","technical writing, collaboration & communication, project planning, technical documentation, regulatory requirements","helpjuice, swagger, google docs, jira, confluence, chat gpt",sn084_eightfold ai_case study_talent intelligence platform.pptx
85,enterprise,sos childrens village international,"world�s largest non-governmental organization focused on supporting children and young people without parental care, or at risk of losing it",ngo,power bi,log analytics & reporting,created a power bi visualization by fetching the activity event log from power bi tenant workspace and dumped it into sql server database by using adf,"activity logs, analytical workspace, auditing","azure data factory (adf), power bi web, sql server",sn085_sos childrens village international_case study_log analytics & reporting.pptx
86,enterprise,tzc,customer is a leading conglomerate that is diversified in multiple industry segments and successful across the globe. ,conglomerate,application development,hrms automation,nitor developed an hrms automation solution by centralizing the employee database across all the group companies,"automation, hr processes, employee self service","sharepoint 2013, angular.js",sn086_tzc_case study_hrms automation.pptx
87,enterprise,tzc,customer is a leading conglomerate that is diversified in multiple industry segments and successful across the globe. ,conglomerate,data engineering,financial consolidation and reporting applications,"built a warehouse as a single source of truth and after applying business rules, devloped a financial consolidation automation solution consisting of reports like balance sheet consolidated, cash flow, income statement consolidated, variance, mis, etc.","data warehouse, financial consolidation, business rules, single source of truth","ms excel, bi 360 data warehouse, taleau",sn087_tzc_case study_financial consolidation & reporting applications.pptx
88,isv,moxe health,leading healthcare isv catering to providers and payer for closing gaps in care by effective patient data integration and sharing.,healthcare,application integration,integration and interoperability,provided the customer with ehr integration & consolidated clinical document architecture (ccda) generation service to break healthcare data silos with the help of healthcare standard fhir rest apis eventually being able to fetch patient health data from ehrs,"healthcare data silos, fhir rest apis, ehrs, continuity of care document (ccd), authentication implementation, consolidated clinical document architecture (ccda)",".net core, rest api, postman, aws services, selenium, jmeter, jira, confluence, slack",sn088_moxe health_case study_integration & interoperability.pptx
89,isv,qi card,the customer is one of the largest providers of credit cards in iraq having 9 million card users  ,banking & finance,application development,delivery aggregator platform,"nitor team developed an application that helped the client identify the kpis such as pick-up time, otd (on time delivery), and delivery agent rating logistics provider�s performance.","pick-up time, on-time delivery, product sales, upselling, cross-selling, ai model","flutter, kafka, aws, node.js, elastic search, power bi",sn089_qi card_case study_delivery aggregator platform.pptx
90,isv,hanover,"customer is an industry leader in research and surveys that provides high-quality, custom research and analytics through a cost-effective model that helps clients in the corporate, higher education, and healthcare sectors.",research,data engineering,real-time data processing & low latency data accessibility,"developed a solution that provided the capability for querying survey data stored in a data lake with near-instantaneous response times. we also executed multiple proofs of concept (pocs) and conducted comprehensive technical evaluations on various tools and technologies, ensuring an informed comparative analysis across them. ","survey data, data integration, historical & real-time data streams, architecture scalability","azure data lake & blob storage, parquet, azure data bricks & delt lake, python, azure event hub, azure function",sn090_hanover_case study_real-time data processing & low latency data accessibility.pptx
91,enterprise,first american,a title insurance company that provides insurance to real estate transactions and also provides mortgage solutions. fai is a global capability center of first america.,insurance,application development,ignite production system (ips) ,"provided full stack developer with angular and .net core + aws having a good experience, unit test (jest in ui, moq�xunit in api), sonarqube, and veracode are the plus points.","insurance, real estate, mortgage, full stack development","c#, ado.net, angular 13/16 with single-spa, .net 6, git, postgresql, ms sql server, aws, dynamo db",sn091_first american_case study_ignite production system.pptx
92,enterprise,omron,"a electrical equipment manufacturer that develops and provides industrial automation solutions, healthcare solutions, electronic devices",electronics manufacturing,iot,smart factory monitoring,implemented an iiot solution to monitor and visualize data from various sensors and machines in a manufacturing facility to improve efficiency and reduce downtime.,"sensors & devices, gateway integration, cloud platform, data storage, data analysis, visualization dashboard","angular, react, aws iot, azure iot, google cloud iot, influx db, timescale db",sn092_omron_case study_smart factory monitoring.pptx
93,enterprise,blue star,"client is an indian multinational home appliances company, headquartered in mumbai. it specializes in air conditioning, commercial refrigeration and mep.",electronics manufacturing,aws,web-based portal for scholarship program management,"client runs a scholarship programme for underpreviliged students which includes activities like shortlisting applicants, finalizing fee structure, generating certificates, etc. that took place manually. hence they were looking for a solution that digitizes all these process. therefore, nitor developed a web-based & mobile friendly csr portal for the client and hosted it on aws cloud to offer excellent performance, scalability, convenience, and cost effectiveness","scholarship programme, csr, aws cloud, mobile-friendly","react, java, aws s3, postgre sql, sendgrid",sn093_blue star_case study_web-based portal for scholarship programme management.pdf
94,enterprise,blue star,"client is an indian multinational home appliances company, headquartered in mumbai. it specializes in air conditioning, commercial refrigeration and mep.",electronics manufacturing,iot,iot-based smart ac solution,"client wanted to launch a�smart ac which can be controlled from anywhere in the world?. for this nitor studied tuya hardware framework which supports iot operations and developed a mobile application to connect this tuya hardware with it over wifi. the communication between tuya server & the app happened through mqtt (message queuing telemetry transport) protocol. with the help of this, client was able to break into a niche market, stay ahead of the iot curve, and maintain their leadership position. ","tuya hardware framework, smart ac, iot, mqtt (message queuing telemetry transport) protocol, wifi, mobile application","tuya hardware framework, mqtt (message queuing telemetry transport) protocol, wifi",sn094_bluestar_case study_iot-based smart ac solution.pptx
95,enterprise,blue star,"client is an indian multinational home appliances company, headquartered in mumbai. it specializes in air conditioning, commercial refrigeration and mep.",electronics manufacturing,mobile application development,digitization of customer service department,"client's existing customer service process was entirely manual which increased dissatisfaction amongst its customers. also, the turn around time (tat) for customers' complaint resolution was low. hence client wanted to digitize this process for which nitor developed a mobile application that enabled consumers to quickly log a service complaint about any organization�s product they may have purchased and monitor its status.","customer service, low turn around time (tat), mobile application, log service complaint, status monitoring","android, ios",sn095_blue star_case study_digitization of customer service department.pdf
96,isv,precisely,"client is a software company specializing in data integrity tools, and also providing big data, high-speed sorting, etl, data integration, data quality, data enrichment, and location intelligence offerings.",software development,application enhancement,upgradation of bank server and client system to ebics 3.0 version,"client wanted to upgrade the ebics (electronic banking internet communication standard in european banking standard) product's version from 2.4 to 3.0 by implementing new features like new order types, changes to existing order types, and changes to key management signature. this helped the end customers (banks & their corporate clients) to perform business transactions (direct debits, credit transfers, cash management, account statements, etc.) in line with the specifications mandated for ebics 3.0. nitor also helped the achieve backward compatbility where allowing the end customers business transactions, even if the bank server is at a lower version of ebics and the client at a higher version or vice versa.","ebics (electronic banking internet communication standard in european banking standard), banks, corporate clients, business transactions (direct debits, credit transfers, cash management, account statements, etc.), backward compatbility","javascript/dojo, java, oracle, mysql, sql server, ibmdb2, mssql server, sonarlint, putty, winscp, jira for project tracking",sn096_precisely_case study_upgradation of ebics 3.0.pptx
97,isv,precisely,"client is a software company specializing in data integrity tools, and also providing big data, high-speed sorting, etl, data integration, data quality, data enrichment, and location intelligence offerings.",software development,application enhancement,migration of sftp server and client from maverick to apache sshd,client had a system of b2bi sftp (both server and client side) and they wanted to to migrate this system from maverick to apache sshd to reduce the licensing cost. nitor partnered with the client and helped it migrate the system to apache sshd by implementing witch operation/configuration for parallel running of the systems and ssh security key using apache libraries. this helped the client in reduced license costs and performance improvement by 25%.,"system migration, parallel running of systems, license costs reduction, performance improvement","apache mina sshd libraries, java, mysql, springboot for rest api, jira for test management, defect tracking and project management",sn097_precisely_case study_migration of sftp server.pptx
98,isv,precisely,"client is a software company specializing in data integrity tools, and also providing big data, high-speed sorting, etl, data integration, data quality, data enrichment, and location intelligence offerings.",software development,report development,product security report development,"client wanted to enhance reports of its black duck & checkmarx products by adding compliance report and developing new vulnerability trend & change analysis report for black duck, checkmarx, jira and prisma products. nitor partnered with the client and had developed the required reports by data cleansing & transforming it in the power query editor and snowflake. nitor also performed data modelling and security enhancement on the power bi to improve the quality of the generated reports. this helped the client to study the performance of each product and its segment over time.","reports enhancement, reports generation, data cleansing, data modelling, data transformation, security enhancement","power query editor, power bi desktop, power bi service, sharepoint, snowflake, jira for project tracking",sn098_precisely_case study_product security report development.pptx
99,isv,precisely,"client is a software company specializing in data integrity tools, and also providing big data, high-speed sorting, etl, data integration, data quality, data enrichment, and location intelligence offerings.",software development,data engineering,liquibase implementation,client wanted to deploy database schema changes by implementing concurrency on the java side instead of having one pipeline run for one database. nitor collaborated with the client & implemented a multi-threaded java utility using liquibase to enhance the deployment process for the client. this helped the client in having an efficient way of deploying database schema changes that allows parallelizing the maximum number of concurrent pipeline jobs working on multiple databases against the current setup of 1:1.,"database schema, multi-threaded java utility, concurrent pipeline jobs, database, deployment process","java, spring boot, maven, liquibase library, jira for defect tracking, test management, project management",sn099_precisely_case study_liquibase implementation.pptx
100,isv,resilinc,"client�is a leading provider of ai-based supply chain data monitoring, cloud provider of supply chain resilience mitigation and risk management.",supply chain,application enhancement,supply chain risk management platform,"client wanted to migrate its existing supply chain risk management (scrm) platform to a flexible & scalable architecture to support millions of data feeds per day. nitor migrated the platform to a scalable serverless microservice-based architecture using aws cloud platform, this helped the client with batch processing to allow huge data creation/replication which further allowed the analysts to create parallel events at one time","supply chain risk management (scrm) platform, scalable & serverless microservice-based architecture, cloud platform, batch processing, data creation, data replication","aws cloud, java, spring boot, angular, postgre sql, elastic search, kafka, spark",sn100_resilinc_case study_supply chain risk management platform.pptx
101,isv,returnsafe,"client is a public benefit corporation that empowers employees to engage with each other, find the right hybrid working arrangements, and proactively help each other with professional growth.",software development,testing,ui test automation using cypress,"client wanted to reduce the manual testing efforts for its product by improving test coverage and developing smoke & regression testing suite. hence, nitor selected different systems like cucumber.io (test management system), continuous integration system (jenkins), and (cypress) test automation framework to automate 150+ regression test cases. this helped the client in improved tat on the quality of releases by covering 70% of the workflows, thus saving 80% manual testing efforts for the client","manual testing, test coverage, smoke testing, regression testing, test management, continuous integration, test automation, test cases, behaviour driven development","javascript, cucumber.io, jenkins, cypress, github",sn101_returnsafe_case study_ui test automation using cypress �.pptx
102,isv,shadowbox,"a saas company that provides secure, no-code healthcare integration & automation platform",software development,support services,development & qa support for a leading healthcare integration & automation platform provider,client was looking for a strategic partner with deep technical skills to support the client in its different product lines and emerge as an offshore development center. nitor supported the client by building a highly skilled support team who are experts in troubleshooting to quickly fix and release the production issues. we also provided several agile and innovative pilot ideas to improve the product quality by achieving a high degree of qa automation for the web & desktop application.,"product line, offshore development center (odc), fixing of production issues, qa automation","javascript, reactjs, jquery, actionjs, rest api, json, php (yii), html, bootstrap, css, mysql, javascript cypress, testrail, ranorex, c# .net, ranorex report",sn102_shadowbox_case study_development & qa support.pptx
103,isv,shadowbox,"a saas company that provides secure, no-code healthcare integration & automation platform",software development,devops,devops implementation,client wanted to move its product offering from of armor to aws using the green blue deployment strategy. nitor setup the client specific application workflow by building docker images and building the whole containerization of apps using elastic container service (ecs). we also used gitlab to add the flow of building the apps' containerization. this helped the client with standardized processes of continuous integration & continuous deployment which enhanced the product quality & saved developer's time & efforts.,"green blue deployment strategy, application workflow, docker images, apps containerization, elastic container service, continuous integration & continuous deployment, elastic container service (ecs)","gitlab, aws, elastic container service (ecs), docker, sonarqube",sn103_shadowbox_case study_devops implementation.pptx
104,isv,shadowbox,"a saas company that provides secure, no-code healthcare integration & automation platform",software development,application integration,integration of lab systems with patient portal and emr system,"client wanted to integrate its lab systems with practice management system (pms), patient portal and electronic medical record (emr) system. hence, nitor integrated these systems using nhapi tool which helped the client in sharing the real-time data of patient's lab results from multiple lab sites, automation process of lab inventory system, and quality assurance & compliance with fda standards.","lab systems, practice management system (pms), patient portal, electronic medical record (emr), lab inventory system, fda standards",".net, nhapi",sn104_shadowbox_case study_integration of lab systems with patient portal and emr system.pptx
105,isv,servicenow,"client is an american software company, that develops a cloud computing platform to help companies manage digital workflows for enterprise operations.",software development,reports & dashboards,self-service bi platform,"the client wanted to migrate certain reports from their legacy system (enterprise data platform) to tableau-based self-service  bi platform with rich look & feel. therefore, nitor did some initial analysis on the existing self-service reports like surf reports, dashboard features and built-in function and re-engineered them by connecting with the report owners to understand the business logic behind it. this way, nitor migrated all the the client's self-service reports, validated them and finally published them on the tableau server.","reports migration, legacy system, self-service reports, enterprise data platform","sap hana, tableau desktop, tableau server",sn105_servicenow_case study_self-service bi platform.pptx
106,isv,symphony industrial ai (siai),"client�is an innovator in industrial insight, for accelerating autonomous plant operations.",software development,mobile application development,rapid plant setup app,"client was facing challenges in enrolling their new customer's plant visit and recording the plant's survey was completely manual which lowered their efficiency. hence, nitor partnered with the client and developed an android-based mobile/tablet application that could allow the client to do surveys in offline mode and also synchronize the collected data with the server. this helped the client survey their customer's plant by 30% lesser duration that the previous one.","plant survey, mobile/tablet application,data collection & synchronization","android, angular, java, kafka, postgre sql, .net",sn106_symphony industrial ai_case study_rapid plant setup app.pptx
107,isv,symphony industrial ai (siai),"client�is an innovator in industrial insight, for accelerating autonomous plant operations.",software development,application enhancement,frontend development using angular,"client wanted to upgrade its product's ui/ux experience as it was not very user-friendly and easy to use. hence, nitor suggested an angular-based framework to create the state-of-the-art application. this helped the client with more number of widgets that were help for the analysts to gain insights about their production facilities.","ui/ux experience, production facility insights, widgets","angular 9, typescript",sn107_symphony industrial ai_case study_frontend development using angular.pptx
108,isv,symphony industrial ai (siai),"client�is an innovator in industrial insight, for accelerating autonomous plant operations.",software development,application enhancement,asset monitoring system,"client had inconsistent organized data about its assets along with incomplete execution of system workflow which resulted in wrong reporting & analysis. therefore, nitor modified the existing system workflow execution process by analyzing the end-to-end communication process between the receiver & sender engine workflow and implemented a robust, zero bug code base solution that accepted the input data and organized it in a pre-defined format. this resulted in high accuracy report generation which helped in maintaining the asset quality.","inconsistent data, system workflow, reporting & analysis, communication process, engine workflow, zero bug code base solution, report generation, asset monitoring",".net core framework 6.0, hot chocolate 13.2 graphql framework, nunit, moq framework for unit test, ms sql server 2019, postgresql 12.12, epplusexcel utility, kafka server, azure devops",sn108_symphony industrial ai_case study_asset monitoring system.pptx
109,isv,allways health partners (awhp) now mass general brigham health plan,"client�is�an insurance company that provides various health plan programs, claim and risk management services.",insurance,mobile application development,hybrid mobile app development with reactnative,"client had developed a web portal for its customers which was not accessible on mobile and hence wanted to ease this challenge for them. therefore, nitor engaged with the client & developed a hybrid mobile app where the client's customers could access their information like details of digital insurance, search hospitals, expense summary, etc. this helped the client increase customers' user experience & satisfaction along with the increase in brand value.","web portal, hybrid mobile app, digital insurance, hospital search, expense summary, user experience, brand value",backend - .net mobile app development � react native,sn109_mass general brigham health plan (allways health partners)_case study_hybrid mobile app development with reactnative.pptx
110,isv,allways health partners (awhp) now mass general brigham health plan,"client�is�an insurance company that provides various health plan programs, claim and risk management services.",insurance,data engineering,data engineering and bi platform,"client wanted to migrate its reports from tableau to power bi to cut down licensing costs. hence, nitor did a thorough analysis of the tableau reports and its built-in functions and then migrated to power bi by integrating the heterogeneous data sources into a single data set to ensure minimum data joins and nominal refresh time. we also introduced role-based and row level security to avoid data exposure to an unintended audience. this helped the client in 40% cost reduction by shifting from tableau to power bi","reports migration, licensing cost, heterogeneous data sources, data joins, role-based & row level security","sql server, sql server analysis services (ssas), sql server reporting services (ssrs), power bi, sharepoint",sn110_mass general brigham health plan (allways health partners)_case study_data engineering and bi platform.pptx
111,isv,allways health partners (awhp) now mass general brigham health plan,"client�is�an insurance company that provides various health plan programs, claim and risk management services.",insurance,testing,uat benefit plan testing (qnxt uat services),client had a requirement of performing user acceptance testing (uat) their product which they use for the payer/provider side. nitor understood the client's requirements and decided to use claim test pro (ctp) tool to create test suites for performing the uat. nitor executed large number of test suites as per the requirements and checked if the claims are hitting correct benefit properties along with cost-share. this helped the client save huge time to process thousands of claims along with zero defect leakage. ,"user acceptence testing (uat), payer/provider side, test suites, claims, zero defect leakage","qnxt, ctp-claim test pro, qtp",sn111_mass general brigham health plan (allways health partners)_case study_uat benefit plan testing (qnxt uat services).pptx
